status,name,type,city,state,region,email,phone,website,notes,,,,
,Snug Harbor,Venue,Charlotte,NC,Southeast,Zach: zach@snugrock.com,,http://snugharbor.tunestub.com/shows.cfm,Jeff's friend Nicole Hummer knows Scott McCannell (owner?),,,,
,The Evening Muse,Venue,Charlotte,NC,Southeast,booking@eveningmuse.com,704.376.3737 (but please follow up by email),http://www.eveningmuse.com/contact/,,,,,
,The Lady Comes First / Shoney & Adrian,Band/Artist,Charlotte,NC,Southeast,theladycomesfirst@gmail.com,,,"awesome duo we played with at The Nest in April 2016, they tour East Coast a lot and we should book more stuff with them",,,,
,The Milestone,Venue,Charlotte,NC,Southeast,wyleybuckbooking@gmail.com,,Adrian (TLCF) suggested,"Super divey rock bar, played here with TLCF in fall 2016 ",,,,
,The Rabbit Hole,Venue,Charlotte,NC,Southeast,scottvelvetproductions@gmail.com,,,,,,,
,The Station,Venue,Charlotte,NC,Southeast,webform ,,http://www.thestationclt.com/,"recommended by Snug Harbor folks - (looks like a punk rock bar, but in a good way)",,,,
,Tin roof,Venue,Charlotte,NC,Southeast,infocharlotte@tinroofbars.com booking: Vince vince@tinroofbars.com,704-910-1330,"http://www.tinroofcharlotte.com/about",,,,,
,Home Front Music Series - house concert series,Presenter/Booker,"Charlotte (Huntersville, near)",NC,Southeast,Please contact Tim Sanborn on our ‰Û÷Contact‰Ûª pageåÊif you have any questions atåÊtim@homefrontmusicseries.com,,http://homefrontmusicseries.com/upcoming-shows/about-homefront-music-series/,"""We can host only 5 or so shows a year (at least that's our target) given this is a hobby and passion rather than a day job.""",,,,
,The Bathtub Gin,Venue,"Charlotte (Mooresville, near)",NC,Southeast,,,"http://bathtubginnc.comMatthttp://bathtubginnc.com/booking-request/","They host shows on Friday and Saturday nights, open mic on Thursday nights, and an open jam on Tuesday nights",,,,
,Buccaneer Lounge,Venue,"Charlotte (Salisbury, near)",NC,Southeast,"buccaneerloungenc@yahoo.com",,www.facebook.com/TheBuckNC,Saturday nights only,,,,
,Name,Contact Type,City,NC,Southeast,Email,Phone,http://motorcomusic.com/ ,Notes,State,Website,Region,Email Address
,Steve ,artist/band,Durham,NC,southeast,,,,"Curtis's sax player, says he could get us a good guarantee gig at the Bullpen",,,,
,The Rock Shop,Venue,Fayetteville,NC,Southeast,therockshopnc@aol.com,,,,,,,
,The Nest at Songbirds Studios,Venue,Gastonia,NC,Southeast,,,,"strip mall listening room, no built in audience. Daniel was very nice. Wes said they're no longer booking music.",,,,
,Zoe's Coffeehouse & Lounge / Wes Forbus,Venue,Gastonia,NC,Southeast,"zoesbooking@gmail.com, wes.forbus@gmail.com",336-972-5233,,"came to see us at The Nest at Songbirds Studios, April 2016. Only books Fri/Sat shows",,,,
,Common Grounds / KC Barman,Venue,Greensboro,NC,Southeast,kcbarman@gmail.com,(336) 698-3888,,"KC was at our show in April 2016, invited us back. Tips gig, not much help from venue on hat pass",,,,
,Elsewhere,,Greensboro,NC,Southeast,Emily - production@goelsewhere.org,,www.goelsewhere.org,met in person in Nov 2016 - recommended 1st Fridays or any Saturday. Museum is only open Wed-Sat,,,,
,Geeksboro,venue,Greensboro,NC,southeast,movieshowjoe@gmail.com,(336) 355-7180,"https://www.facebook.com/Geeksboro/https://www.geeksboro.com/",,,,,
,Joe Rinaldi,Band/Artist,Greensboro,NC,Southeast,facebook,973-462-5530,,Joe's band the Rinaldi Flying Circus would be a good one to share a bill with. ALSO books other bands for stuff -- his series Jabberwalk may or may not be revived at some point too,,,,
,John Damian,local media,Greensboro,NC,Southeast,jadamian@wesleyan.edu,,,Yes Weekly - see also Hartford,,,,
